Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall_amount,Period over which rainfall was measured (days),Quality
IDCJAC0009,87031,2008,4,18,0,1,N
IDCJAC0009,87031,2008,4,19,0,1,N
IDCJAC0009,87031,2008,4,20,0,1,N
IDCJAC0009,87031,2008,4,21,0,1,N
IDCJAC0009,87031,2008,4,22,0,1,N
IDCJAC0009,87031,2008,4,23,0.2,1,N
IDCJAC0009,87031,2008,4,24,0,1,N
IDCJAC0009,87031,2008,4,25,0,1,N
IDCJAC0009,87031,2008,4,26,1,1,N
IDCJAC0009,87031,2008,4,27,4.4,1,N
IDCJAC0009,87031,2008,4,28,0,1,N
IDCJAC0009,87031,2008,4,29,0.2,1,N
IDCJAC0009,87031,2008,4,30,0,1,N
IDCJAC0009,87031,2008,5,1,0.8,1,N
IDCJAC0009,87031,2008,5,2,8.8,1,N
IDCJAC0009,87031,2008,5,3,4.8,1,N
IDCJAC0009,87031,2008,5,4,0,1,N
IDCJAC0009,87031,2008,5,5,0,1,N
IDCJAC0009,87031,2008,5,6,0,1,N
IDCJAC0009,87031,2008,5,7,5.2,1,N
IDCJAC0009,87031,2008,5,8,0,1,N
IDCJAC0009,87031,2008,5,9,0,1,N
IDCJAC0009,87031,2008,5,10,0,1,N
IDCJAC0009,87031,2008,5,11,0,1,N
IDCJAC0009,87031,2008,5,12,0,1,N
IDCJAC0009,87031,2008,5,13,0,1,N
IDCJAC0009,87031,2008,5,14,0,1,N
IDCJAC0009,87031,2008,5,15,0,1,N
IDCJAC0009,87031,2008,5,16,0,1,N
IDCJAC0009,87031,2008,5,17,8,1,N
IDCJAC0009,87031,2008,5,18,12.4,1,N
IDCJAC0009,87031,2008,5,19,0,1,N
IDCJAC0009,87031,2008,5,20,0.2,1,N
IDCJAC0009,87031,2008,5,21,0,1,N
IDCJAC0009,87031,2008,5,22,0,1,N
IDCJAC0009,87031,2008,5,23,0,1,N
IDCJAC0009,87031,2008,5,24,0.2,1,N
IDCJAC0009,87031,2008,5,25,0,1,N
IDCJAC0009,87031,2008,5,26,0,1,N
IDCJAC0009,87031,2008,5,27,7,1,N
IDCJAC0009,87031,2008,5,28,3,1,N
IDCJAC0009,87031,2008,5,29,0,1,N
IDCJAC0009,87031,2008,5,30,0,1,N
IDCJAC0009,87031,2008,5,31,0,1,N
IDCJAC0009,87031,2008,6,1,0.2,1,N
IDCJAC0009,87031,2008,6,2,0.2,1,N
IDCJAC0009,87031,2008,6,3,0,1,N
IDCJAC0009,87031,2008,6,4,0,1,N
IDCJAC0009,87031,2008,6,5,0.4,1,N
IDCJAC0009,87031,2008,6,6,0,1,N
IDCJAC0009,87031,2008,6,7,0.4,1,N
IDCJAC0009,87031,2008,6,8,0,1,N
IDCJAC0009,87031,2008,6,9,0,1,N
IDCJAC0009,87031,2008,6,10,0.8,1,N
IDCJAC0009,87031,2008,6,11,0,1,N
IDCJAC0009,87031,2008,6,12,0,1,N
IDCJAC0009,87031,2008,6,13,4.6,1,N
IDCJAC0009,87031,2008,6,14,0.8,1,N
IDCJAC0009,87031,2008,6,15,0,1,N
IDCJAC0009,87031,2008,6,16,0,1,N
IDCJAC0009,87031,2008,6,17,0,1,N
IDCJAC0009,87031,2008,6,18,0,1,N
IDCJAC0009,87031,2008,6,19,0,1,N
IDCJAC0009,87031,2008,6,20,5.6,1,N
IDCJAC0009,87031,2008,6,21,0.4,1,N
IDCJAC0009,87031,2008,6,22,0.8,1,N
IDCJAC0009,87031,2008,6,23,0.2,1,N
IDCJAC0009,87031,2008,6,24,0,1,N
IDCJAC0009,87031,2008,6,25,0,1,N
IDCJAC0009,87031,2008,6,26,0,1,N
IDCJAC0009,87031,2008,6,27,0,1,N
IDCJAC0009,87031,2008,6,28,0,1,N
IDCJAC0009,87031,2008,6,29,0,1,N
IDCJAC0009,87031,2008,6,30,0,1,N
IDCJAC0009,87031,2008,7,1,1.8,1,N
IDCJAC0009,87031,2008,7,2,0,1,N
IDCJAC0009,87031,2008,7,3,0.6,1,N
IDCJAC0009,87031,2008,7,4,0,1,N
IDCJAC0009,87031,2008,7,5,0.2,1,N
IDCJAC0009,87031,2008,7,6,0,1,N
IDCJAC0009,87031,2008,7,7,0,1,N
IDCJAC0009,87031,2008,7,8,7,1,N
IDCJAC0009,87031,2008,7,9,0,1,N
IDCJAC0009,87031,2008,7,10,2.4,1,N
IDCJAC0009,87031,2008,7,11,0.4,1,N
IDCJAC0009,87031,2008,7,12,0,1,N
IDCJAC0009,87031,2008,7,13,0,1,N
IDCJAC0009,87031,2008,7,14,0,1,N
IDCJAC0009,87031,2008,7,15,0,1,N
IDCJAC0009,87031,2008,7,16,0,1,N
IDCJAC0009,87031,2008,7,17,0,1,N
IDCJAC0009,87031,2008,7,18,0.6,1,N
IDCJAC0009,87031,2008,7,19,1,1,N
IDCJAC0009,87031,2008,7,20,0.4,1,N
IDCJAC0009,87031,2008,7,21,17.8,1,N
IDCJAC0009,87031,2008,7,22,1.6,1,N
IDCJAC0009,87031,2008,7,23,1,1,N
IDCJAC0009,87031,2008,7,24,0,1,N
IDCJAC0009,87031,2008,7,25,0,1,N
IDCJAC0009,87031,2008,7,26,0,1,N
IDCJAC0009,87031,2008,7,27,8.8,1,N
IDCJAC0009,87031,2008,7,28,3.2,1,N
IDCJAC0009,87031,2008,7,29,0,1,N
IDCJAC0009,87031,2008,7,30,0,1,N
IDCJAC0009,87031,2008,7,31,0.6,1,N
IDCJAC0009,87031,2008,8,1,0.8,1,N
IDCJAC0009,87031,2008,8,2,0.8,1,N
IDCJAC0009,87031,2008,8,3,0,1,N
IDCJAC0009,87031,2008,8,4,0,1,N
IDCJAC0009,87031,2008,8,5,0,1,N
IDCJAC0009,87031,2008,8,6,0.6,1,N
IDCJAC0009,87031,2008,8,7,0,1,N
IDCJAC0009,87031,2008,8,8,0,1,N
IDCJAC0009,87031,2008,8,9,0.8,1,N
IDCJAC0009,87031,2008,8,10,6.2,1,N
IDCJAC0009,87031,2008,8,11,8,1,N
IDCJAC0009,87031,2008,8,12,0.2,1,N
IDCJAC0009,87031,2008,8,13,1.6,1,N
IDCJAC0009,87031,2008,8,14,0.2,1,N
IDCJAC0009,87031,2008,8,15,0,1,N
IDCJAC0009,87031,2008,8,16,8.2,1,N
IDCJAC0009,87031,2008,8,17,2.4,1,N
IDCJAC0009,87031,2008,8,18,0.4,1,N
IDCJAC0009,87031,2008,8,19,0.4,1,N
IDCJAC0009,87031,2008,8,20,0,1,N
IDCJAC0009,87031,2008,8,21,0.6,1,N
IDCJAC0009,87031,2008,8,22,7.8,1,N
IDCJAC0009,87031,2008,8,23,1,1,N
IDCJAC0009,87031,2008,8,24,0,1,N
IDCJAC0009,87031,2008,8,25,0,1,N
IDCJAC0009,87031,2008,8,26,0.2,1,N
IDCJAC0009,87031,2008,8,27,0,1,N
IDCJAC0009,87031,2008,8,28,0,1,N
IDCJAC0009,87031,2008,8,29,0.2,1,N
IDCJAC0009,87031,2008,8,30,0,1,N
IDCJAC0009,87031,2008,8,31,0,1,N
IDCJAC0009,87031,2008,9,1,2.8,1,N
IDCJAC0009,87031,2008,9,2,0.8,1,N
IDCJAC0009,87031,2008,9,3,0.6,1,N
IDCJAC0009,87031,2008,9,4,0,1,N
IDCJAC0009,87031,2008,9,5,0.2,1,N
IDCJAC0009,87031,2008,9,6,0,1,N
IDCJAC0009,87031,2008,9,7,0,1,N
IDCJAC0009,87031,2008,9,8,3.2,1,N
IDCJAC0009,87031,2008,9,9,0,1,N
IDCJAC0009,87031,2008,9,10,0.2,1,N
IDCJAC0009,87031,2008,9,11,0,1,N
IDCJAC0009,87031,2008,9,12,0,1,N
IDCJAC0009,87031,2008,9,13,0,1,N
IDCJAC0009,87031,2008,9,14,0,1,N
IDCJAC0009,87031,2008,9,15,0,1,N
IDCJAC0009,87031,2008,9,16,0.6,1,N
IDCJAC0009,87031,2008,9,17,0,1,N
IDCJAC0009,87031,2008,9,18,0.2,1,N
IDCJAC0009,87031,2008,9,19,0,1,N
IDCJAC0009,87031,2008,9,20,0,1,N
IDCJAC0009,87031,2008,9,21,0.2,1,N
IDCJAC0009,87031,2008,9,22,0,1,N
