"date","rainfall_amount"
2008-11-27,25.2
2008-11-28,2.2
2008-11-29,0
2008-11-30,3.4
2008-12-01,0
2008-12-02,0
2008-12-03,0
2008-12-04,3.6
2008-12-05,9.6
2008-12-06,7.8
2008-12-07,12.4
2008-12-08,0
2008-12-09,0.2
2008-12-10,0.6
2008-12-11,0
2008-12-12,9.6
2008-12-13,0
2008-12-14,0.4
2008-12-15,0
2008-12-16,0
2008-12-17,0
2008-12-18,0
2008-12-19,2
2008-12-20,0
2008-12-21,0
2008-12-22,0
2008-12-23,0
2008-12-24,0
2008-12-25,0
2008-12-26,0.8
2008-12-27,0.6
2008-12-28,4.2
2008-12-29,0.2
2008-12-30,6.6
2008-12-31,4
2009-01-01,0
2009-01-02,0
2009-01-03,4.4
2009-01-04,4.8
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,1.4
2009-01-09,0.6
2009-01-10,0.2
2009-01-11,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0
2009-01-16,0
2009-01-17,0
2009-01-18,0
2009-01-19,0
2009-01-20,0
2009-01-21,0
2009-01-22,0
2009-01-23,26.6
2009-01-24,4.4
2009-01-25,0
2009-01-26,29.8
2009-01-27,1.8
2009-01-28,0.2
2009-01-29,0
2009-01-30,3.2
2009-01-31,0
2009-02-01,0.8
2009-02-02,1
2009-02-03,6.2
2009-02-04,0.6
2009-02-05,0
2009-02-06,0
2009-02-07,0
2009-02-08,0
2009-02-09,0
2009-02-10,0
2009-02-11,1.4
2009-02-12,0
2009-02-13,23.8
2009-02-14,36.8
2009-02-15,2
2009-02-16,0
2009-02-17,0
2009-02-18,17.4
2009-02-19,2.2
2009-02-20,3.4
2009-02-21,35.2
2009-02-22,1
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0.2
2009-03-04,0.2
2009-03-05,0
2009-03-06,0
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,3.4
2009-03-11,4.4
2009-03-12,5.6
2009-03-13,3
2009-03-14,6
2009-03-15,3
2009-03-16,0
2009-03-17,13.2
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0.2
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,3.2
2009-03-30,2.2
2009-03-31,3
2009-04-01,0.2
2009-04-02,13
2009-04-03,66.2
2009-04-04,41
2009-04-05,0.8
2009-04-06,1
2009-04-07,1.2
2009-04-08,1.8
2009-04-09,0
2009-04-10,5.6
2009-04-11,2.2
2009-04-12,14.6
2009-04-13,1.4
2009-04-14,43.8
2009-04-15,0.4
2009-04-16,0
2009-04-17,0
2009-04-18,0.6
2009-04-19,0.2
2009-04-20,0
2009-04-21,0
2009-04-22,1
2009-04-23,0.2
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0
